Date,Open,High,Low,Close,Adj Close,Volume
2020-09-14,7.472600,7.496500,7.464000,7.467290,7.467290,0
2020-09-15,7.483700,7.497210,7.473230,7.483500,7.483500,0
2020-09-16,7.484100,7.505880,7.476680,7.485400,7.485400,0
2020-09-17,7.486380,7.560300,7.482120,7.492700,7.492700,0
2020-09-18,7.547600,7.574800,7.538100,7.544600,7.544600,0
2020-09-21,7.558650,7.634700,7.553700,7.557600,7.557600,0
2020-09-22,7.615700,7.669150,7.613500,7.616640,7.616640,0
2020-09-23,7.667970,7.705700,7.650020,7.667700,7.667700,0
2020-09-24,7.696500,7.714000,7.554240,7.698600,7.698600,0
2020-09-25,7.612300,7.670900,7.509980,7.615700,7.615700,0
2020-09-28,7.658180,7.831310,7.654290,7.658180,7.658180,0
2020-09-29,7.792300,7.853530,7.762500,7.780360,7.780360,0
2020-09-30,7.798170,7.831700,7.695500,7.811330,7.811330,0
2020-10-01,7.706770,7.774900,7.635930,7.705870,7.705870,0
2020-10-02,7.750600,7.771600,7.721780,7.751400,7.751400,0
2020-10-05,7.755500,7.785500,7.719180,7.736630,7.736630,0
2020-10-06,7.759900,7.795760,7.741400,7.760000,7.760000,0
2020-10-07,7.788370,7.883400,7.781470,7.788270,7.788270,0
2020-10-08,7.871860,7.943450,7.871860,7.872690,7.872690,0
2020-10-09,7.939900,7.952250,7.835200,7.940300,7.940300,0
2020-10-12,7.862500,7.910930,7.845250,7.845250,7.845250,0
2020-10-13,7.884670,7.924400,7.869660,7.885400,7.885400,0
2020-10-14,7.922600,7.956360,7.895600,7.920700,7.920700,0
2020-10-15,7.907980,7.949000,7.903800,7.906200,7.906200,0
2020-10-16,7.931000,7.955400,7.886670,7.930900,7.930900,0
2020-10-19,7.912750,7.922020,7.871300,7.912300,7.912300,0
2020-10-20,7.872320,7.904690,7.861200,7.872640,7.872640,0
2020-10-21,7.857300,7.871250,7.802090,7.858000,7.858000,0
2020-10-22,7.805260,7.975070,7.777650,7.808040,7.808040,0
2020-10-23,7.941100,7.974630,7.930790,7.941200,7.941200,0
2020-10-26,7.973530,8.091810,7.970210,7.973540,7.973540,0
2020-10-27,8.088100,8.194410,8.079720,8.090220,8.090220,0
2020-10-28,8.193700,8.314740,8.184590,8.192700,8.192700,0
2020-10-29,8.269200,8.324240,8.251040,8.264920,8.264920,0
2020-10-30,8.298550,8.381650,8.258500,8.297940,8.297940,0
2020-11-02,8.360770,8.441790,8.328130,8.363490,8.363490,0
2020-11-03,8.436150,8.536700,8.396310,8.433610,8.433610,0
2020-11-04,8.431100,8.511820,8.377880,8.432000,8.432000,0
2020-11-05,8.444400,8.474000,8.404570,8.440500,8.440500,0
2020-11-06,8.420800,8.578000,8.406100,8.420400,8.420400,0
2020-11-09,8.385730,8.443710,8.007800,8.437790,8.437790,0
2020-11-10,8.108900,8.367520,8.074000,8.107600,8.107600,0
2020-11-11,8.172400,8.196800,7.806100,8.149150,8.149150,0
2020-11-12,7.787630,7.886600,7.677070,7.783000,7.783000,0
2020-11-13,7.681200,7.744600,7.601870,7.681800,7.681800,0
2020-11-16,7.621950,7.753820,7.604300,7.619950,7.619950,0
2020-11-17,7.700300,7.793450,7.679510,7.688380,7.688380,0
2020-11-18,7.694800,7.779400,7.667800,7.674650,7.674650,0
2020-11-19,7.707700,7.726200,7.517500,7.691060,7.691060,0
2020-11-20,7.523000,7.673690,7.522900,7.539600,7.539600,0
2020-11-23,7.617250,7.938150,7.614800,7.617250,7.617250,0
2020-11-24,7.879100,8.028000,7.836230,7.873900,7.873900,0
2020-11-25,7.993750,8.005900,7.917910,7.993900,7.993900,0
